,District name,State name,latitude,longitude,economic_growth_score,digital_score,income_score,infrastructure_score,education_score,mobility_score,Population,Literate,Workers,Households_with_Internet,Housholds_with_Electric_Lighting,LPG_or_PNG_Households,Power_Parity_Above_Rs_545000
30,Chandigarh,CHANDIGARH,30.773397709587375,75.50035623737548,23.71,0.100133269660961,0.47708366449425105,0.09662023806517166,0.09296036121475051,0.10318605820906968,1055450,805438,404136,44283,231204,168344,7897
31,Vadodara,GUJARAT,21.489772284792924,69.55123235378687,23.67,0.1402927345509173,0.0995337254278599,0.2934365972261347,0.19882344386420034,0.2877197007014566,4165626,2893080,1693473,53606,798277,411734,1360
32,East Godavari,ANDHRA PRADESH,17.062938449405095,80.33173645670348,23.19,0.09505395086797293,0.022201027923488582,0.4311720833908065,0.18223920508721242,0.28291595128145475,5154296,3288577,2093681,22411,1297273,479914,290
33,Thiruvananthapuram,KERALA,11.346891292851414,75.76859489186212,23.02,0.18576824184798413,0.03714300853070524,0.27339003910765386,0.26284442960548976,0.23292141008761383,3301427,2785408,1231669,71621,783872,343590,273
34,Guntur,ANDHRA PRADESH,17.044604775872138,79.60610207198779,22.84,0.08163852058389641,0.0244529221639379,0.4451135345897776,0.15959568855537656,0.2676709353664354,4887813,2960441,2381624,19383,1186028,648568,317
35,South Twenty Four Parganas,WEST BENGAL,23.868694249193858,87.12806846094274,22.51,0.1117155253830786,0.051369681555661524,0.2594913285140063,0.21770794820613082,0.3009755016577874,8161961,5531657,2964494,20665,837874,232355,147
36,Patna,BIHAR,24.656002463273268,85.66034229788274,21.82,0.14180809332644187,0.03912997403698405,0.21042147093735974,0.312262928069419,0.2649405575000747,5838465,3459679,1881886,40692,546859,321307,476
37,Kanpur Nagar,UTTAR PRADESH,25.89512058593203,81.00426487655933,21.63,0.10411907279701646,0.06228474540348646,0.22761460796179767,0.3111145022219173,0.26153367758471224,4581268,3243022,1572232,33966,517271,421694,659
38,South West,NCT OF DELHI,27.909368209374446,78.27786067417873,21.6,0.20587418590421458,0.06416573941609707,0.21369331284374618,0.24180474917102704,0.19668176069893514,2292958,1787689,795352,94853,457784,423855,769
39,Haora,WEST BENGAL,22.777932124582442,87.52755358695215,21.31,0.10637163313901246,0.08051184231441742,0.2720650803426242,0.20075705979768724,0.23267901309983507,4850029,3605206,1819845,30751,796953,325053,529
40,Vellore,TAMIL NADU,10.578137741326092,78.83813383966894,21.26,0.07403551509502118,0.06366237482117311,0.31127035764172883,0.2112967004605652,0.2819655341376841,3936331,2773928,1689330,20623,865913,417535,402
41,Salem,TAMIL NADU,9.707819597230651,77.30061070510294,21.03,0.06911428508239865,0.07078895777035978,0.3114881890222698,0.18356139691461262,0.3075146965358676,3482056,2285562,1694160,20660,835377,448968,515
42,Madurai,TAMIL NADU,10.41574664533011,77.60056093179504,20.85,0.10587688897662498,0.06866952789699571,0.2778826595535938,0.20907392974323943,0.25621296622428674,3038252,2273430,1354632,34097,754141,391821,738
43,Thrissur,KERALA,9.913809918199728,75.88593591325738,20.7,0.15462557122882492,0.039024002543315846,0.2570012025652134,0.2390545355481156,0.20205998448139392,3121200,2678548,1095727,56148,721625,338350,189
44,Kolhapur,MAHARASHTRA,19.341015221084138,75.34442673902434,20.55,0.07699496982797811,0.066735548137551,0.26922792981992605,0.24908789929903008,0.25204607752284575,3876001,2825845,1704054,22269,770005,340318,525
45,Indore,MADHYA PRADESH,23.478245584366206,78.20385872320557,20.26,0.1310736194057664,0.04466698458114767,0.24504621813639305,0.23273102425998396,0.23824309623485343,3276697,2309130,1268195,48691,593576,417170,615
46,Rajkot,GUJARAT,21.537601799967995,70.92414910925284,20.25,0.07290513935976502,0.081333121390346,0.2690261261663814,0.16031157708159866,0.33849147191509216,3804558,2725056,1479050,21785,747352,362140,894
47,Ahmadnagar,MAHARASHTRA,19.561738734338572,76.99556331729866,20.09,0.07136274986013648,0.05899962909977216,0.2370231265529896,0.2480989011776827,0.29277949412463494,4543159,3151890,2204590,18370,677592,300116,122
48,Allahabad,UTTAR PRADESH,26.480141626830353,79.23279594212941,19.19,0.08966255007851197,0.04588565675833201,0.14430296872359066,0.31772375442394873,0.2732103239021626,5954391,3665727,2111907,24122,391542,204357,300
49,Tiruppur,TAMIL NADU,10.041884061026272,77.06458162643749,19.11,0.059256261912972535,0.11206485455412495,0.2712386810249197,0.11934582058679645,0.2766328004065511,2479052,1760566,1266137,17181,655073,463530,1446
50,Chittoor,ANDHRA PRADESH,15.961098198223725,80.26277551670799,18.52,0.0661024071269371,0.022518942404493193,0.3077522715660352,0.17431083354072593,0.2479243539437925,4174064,2667878,1933357,13763,944555,324406,307
51,Belgaum,KARNATAKA,12.771219680425181,76.73874181023578,18.34,0.07446309200357461,0.04752821491018916,0.2544741642754593,0.16402108815738758,0.26191579401584875,4779661,3052032,2105668,17560,808827,240742,308
